,CLIMATE_CHANGE_TOT,FRESHWATER_AND_TERRESTRIAL_ACIDIFICATION,FRESHWATER_ECOTOXICITY,MARINE_EUTROPHICATION,TERRESTRIAL_EUTROPHICATION,CARCINOGENIC_EFFECTS,IONISING_RADIATION,NON_CARCINOGENIC_EFFECTS,OZONE_LAYER_DEPLETION,PHOTOCHEMICAL_OZONE_CREATION,RESPIRATORY_EFFECTS,FOSSIL_RESOURCE_USE,LAND_USE,MINERALS_AND_METALS,FOSSIL_ENERGY_DEMAND,NUCLEAR_ENERGY_DEMAND,PRIMARY_FOREST_ENERGY_DEMAND
ATR_GHR_CCS,0.022894669,0.000104677,0.005626963,2.48E-05,0.00026534,2.07E-10,0.002947548,1.58E-09,1.24E-08,8.45E-05,2.99E-10,1.494619332,0.074711231,2.25E-07,1.560261988,0.04286799,2.08E-06
SMR_FLUEGAS_CAP,0.022894669,0.000104677,0.005626963,2.48E-05,0.00026534,2.07E-10,0.002947548,1.58E-09,1.24E-08,8.45E-05,2.99E-10,1.494619332,0.074711231,2.25E-07,1.560261988,0.04286799,2.08E-06
CHP_PLANT,0.032494556,4.25E-05,0.001182536,1.53E-05,0.000167528,5.43E-11,9.15E-05,2.73E-10,4.55E-09,5.72E-05,1.38E-10,0.464014215,0.009090082,1.54E-08,0.500781875,0.001130109,7.17E-07
DOMESTIC_BLEND_BURNER,0.030776607,2.87E-05,0.001625509,7.47E-06,8.16E-05,6.59E-11,0.000102493,3.70E-10,4.43E-09,3.43E-05,1.12E-10,0.452559637,0.008585936,2.69E-08,0.488084404,0.001272367,6.31E-06
DOMESTIC_GAS_BOILER,0.076818477,8.38E-05,0.020603615,1.54E-05,0.000163356,2.37E-10,0.000911739,1.46E-09,7.67E-09,7.44E-05,3.53E-10,1.116472472,0.031906006,1.49E-07,1.189507523,0.014001303,3.61E-06
DOMESTIC_H2_BOILER,0.001568335,1.09E-05,0.001722612,1.61E-06,1.60E-05,8.05E-11,0.000695551,4.99E-10,1.22E-10,4.43E-06,4.84E-11,0.033264247,0.014955248,1.27E-07,0.018562865,0.01199544,2.27E-06
FUEL_CELL_ELECTRIC_VEHICLE,0.351678551,0.001668354,0.766734477,0.000328633,0.003563807,8.75E-09,0.101511686,7.59E-08,5.73E-08,0.00107298,1.53E-08,7.191219816,12.06350093,2.03E-05,4.801750852,1.935122928,0.000101259
H2_REFUELLING_STATION,401774.9561,2222.514015,1441243.082,480.8217918,4498.750476,0.111255578,24694.23722,0.145231126,0.023647515,1461.341754,0.02961733,5560928.229,4240952.876,10.12368655,4683263.768,457390.9117,69.48942137
HEAVY_DUTY_VEHICLE,0.38286507,0.001826636,0.845888984,0.000359071,0.003890076,9.66E-09,0.109577708,8.28E-08,6.27E-08,0.001173526,1.69E-08,7.807756603,13.0549372,2.22E-05,5.227091361,2.086898482,0.000110288
INDUSTRIAL_GAS_BOILER,0.069794786,5.56E-05,0.001720771,1.51E-05,0.000164445,8.55E-11,0.000712613,4.64E-10,9.84E-09,5.77E-05,1.75E-10,1.145594386,0.012914688,1.81E-08,1.233979352,0.005915233,1.15E-06
INDUSTRIAL_GAS_FURNACE,0.070405151,5.79E-05,0.001738884,1.62E-05,0.000176041,8.64E-11,0.000720114,4.69E-10,9.95E-09,6.06E-05,2.05E-10,1.157653264,0.013050632,1.83E-08,1.246968598,0.005977498,1.16E-06
INDUSTRIAL_H2_BOILER,0.000538415,3.09E-06,0.000322908,5.16E-07,4.92E-06,1.72E-11,0.000272447,9.81E-11,4.38E-11,1.30E-06,1.16E-11,0.012111253,0.005154731,4.14E-09,0.006457048,0.004716125,8.51E-08
INDUSTRIAL_H2_FURNACE,0.000544083,3.12E-06,0.000326307,5.21E-07,4.97E-06,1.73E-11,0.000275315,9.92E-11,4.43E-11,1.32E-06,1.17E-11,0.01223874,0.005208991,4.18E-09,0.006525017,0.004765768,8.60E-08
WATER_ELECTROLYSIS,0.000883503,2.72E-05,0.002106895,2.64E-06,3.64E-05,1.44E-10,7.54E-05,4.03E-10,7.59E-11,9.67E-06,1.16E-10,0.014588553,0.006508399,3.31E-08,0.011256293,0.001106202,1.06E-07
POST_COMB_CAPTURE,43.020799,0.553381,6.221905,0.049143,2.230115,2.64E-07,1.53343,1.55E-06,0.000024103,0.133334,3.68E-06,2786.693708,71.653827,9.32E-05,3004.292902,10.657908,0.00399163
PAY_FOR_CO2_STORAGE,37.01526675,0.19690605,13.7983395,0.0362689,0.3444738,0.000000606,19.369845,0.00000438,0.00000321,0.088338525,7.73E-07,835.6111915,367.3177118,0.000159,443.0650868,332.9998485,0.00830907
NET,-1000,2.10722,228.652573,0.443688,4.273555,0.00000311,186.498434,0.0000411,0.0000463,1.57494,0.00000985,8810.515742,175644.0394,0.00236,5196.761576,3133.688777,2.817232
