,CLIMATE_CHANGE_TOT,FRESHWATER_AND_TERRESTRIAL_ACIDIFICATION,FRESHWATER_ECOTOXICITY,MARINE_EUTROPHICATION,TERRESTRIAL_EUTROPHICATION,CARCINOGENIC_EFFECTS,IONISING_RADIATION,NON_CARCINOGENIC_EFFECTS,OZONE_LAYER_DEPLETION,PHOTOCHEMICAL_OZONE_CREATION,RESPIRATORY_EFFECTS,FOSSIL_RESOURCE_USE,LAND_USE,MINERALS_AND_METALS,FOSSIL_ENERGY_DEMAND,NUCLEAR_ENERGY_DEMAND,PRIMARY_FOREST_ENERGY_DEMAND
12INCH_PIPE_NAT_GAS,70953.79968,514.4080045,168824.878,79.34404012,852.4183759,0.007442533,3686.401526,0.043202563,0.005834183,294.2679701,0.004891955,1022959.327,1966169.594,2.971715388,936922.1345,46948.38095,120.04545
14INCH_PIPE_NAT_GAS,1003089.648,6546.171774,1547128.312,2223.443212,23621.47658,0.103550159,53554.73325,0.20127311,0.117906888,7650.018349,0.140807512,13600442.97,7509708.942,19.7275194,12239749.85,448457.4799,2928.884921
20INCH_PIPE_NAT_GAS,1356038.352,8192.793046,2297726.637,2604.960738,27443.28868,0.160068295,70401.88511,0.305337517,0.140480374,9331.136871,0.168855462,18234639.3,9874773.855,29.97127323,15964390.96,666469.2859,4570.69175
36INCH_PIPE_NAT_GAS,1882610.392,9887.297108,3421453.973,2781.701856,28880.27112,0.254917012,90496.61907,0.522805733,0.149297332,10731.4949,0.189746963,24102785.55,9723002.102,75.78034342,20141383.96,1015501.421,7414.545114
48INCH_PIPE_NAT_GAS,86758.69933,516.5069381,148627.1396,130.5252111,1383.053985,0.009332514,5131.308639,0.025750837,0.007531461,486.6474901,0.008410867,1244050.381,1574876.934,2.285900655,1096146.837,64236.27588,249.0447616
6INCH_PIPE,68683.27809,497.9469484,163422.4819,76.80503084,825.1409879,0.007204372,3568.436677,0.041820081,0.005647489,284.8513951,0.004735412,990224.6285,1903252.167,2.876620496,906940.6262,45446.03276,116.2039956
12INCH_PIPE,78049.17965,565.848805,185707.3658,87.27844413,937.6602135,0.008186786,4055.041679,0.047522819,0.006417601,323.6947671,0.005381151,1125255.26,2162786.553,3.268886927,1030614.348,51643.21905,132.049995
14INCH_PIPE,1103398.613,7200.788951,1701841.143,2445.787533,25983.62424,0.113905175,58910.20658,0.221400421,0.129697577,8415.020184,0.154888263,14960487.27,8260679.836,21.70027134,13463724.84,493303.2279,3221.773413
20INCH_PIPE,1491642.187,9012.072351,2527499.301,2865.456812,30187.61755,0.176075125,77442.07362,0.335871269,0.154528411,10264.25056,0.185741008,20058103.23,10862251.24,32.96840055,17560830.06,733116.2145,5027.760925
36INCH_PIPE,2070871.431,10876.02682,3763599.37,3059.872042,31768.29823,0.280408713,99546.28098,0.575086306,0.164227065,11804.64439,0.208721659,26513064.11,10695302.31,83.35837776,22155522.36,1117051.563,8155.999625
48INCH_PIPE,95434.56926,568.1576319,163489.8536,143.5777322,1521.359384,0.010265765,5644.439503,0.028325921,0.008284607,535.3122391,0.009251954,1368455.419,1732364.627,2.514490721,1205761.521,70659.90347,273.9492378
12INCH_CO2_ONSHORE,1356038.352,8192.793046,2297726.637,2604.960738,27443.28868,0.160068295,70401.88511,0.305337517,0.140480374,9331.136871,0.168855462,18234639.3,9874773.855,29.97127323,15964390.96,666469.2859,4570.69175
12INCH_CO2_OFFSHORE,1356038.352,8192.793046,2297726.637,2604.960738,27443.28868,0.160068295,70401.88511,0.305337517,0.140480374,9331.136871,0.168855462,18234639.3,9874773.855,29.97127323,15964390.96,666469.2859,4570.69175
26INCH_CO2_ONSHORE,1898453.693,11469.91026,3216817.292,3646.945033,38420.60415,0.224095613,98562.63915,0.427472524,0.196672524,13063.59162,0.236397647,25528495.02,13824683.4,41.95978252,22350147.34,933057.0003,6398.96845
26INCH_CO2_OFFSHORE,1898453.693,11469.91026,3216817.292,3646.945033,38420.60415,0.224095613,98562.63915,0.427472524,0.196672524,13063.59162,0.236397647,25528495.02,13824683.4,41.95978252,22350147.34,933057.0003,6398.96845
